Location Code,Location Name,postcode,Address,Mapped: outcode,Mapped: longitude,Mapped: latitude,Mapped: parliamentary_constituency,Mapped: parliamentary_constituency_2025,Mapped: codes.parliamentary_constituency,Mapped: codes.parliamentary_constituency_2025,Mapped: admin_district,Mapped: codes.admin_district,Mapped: admin_ward,Mapped: codes.admin_ward,Mapped: parish,Mapped: codes.parish,Mapped: admin_county,Mapped: codes.admin_county,Mapped: nhs_ha,Mapped: primary_care_trust,Mapped: region,Mapped: country,Mapped: lsoa,Mapped: codes.lsoa,Mapped: msoa,Mapped: codes.msoa,Mapped: ccg,Mapped: codes.ccg
F709H,St Andrews Community Hospital, KY16 8AR,"Largo Road, St Andrews, KY16 8AR",KY16,-2.805559,56.327639,North East Fife,North East Fife,S14000049,S14000100,Fife,S12000047,St Andrews,S13002962,,S99999999,,S99999999,Fife,Glenrothes and North East Fife Community Health Partnership,,Scotland,Cairnsmill,S01009730,St Andrews South West,S02001836,Glenrothes & North East Fife Community Health Partnership,S03000007
F710H,Randolph Wemyss Memorial Hospital, KY8 1HU,"Wellesley Road, Buckhaven, KY8 1HU",KY8,-3.027878,56.176424,Glenrothes,Glenrothes and Mid Fife,S14000036,S14000090,Fife,S12000047,"Buckhaven, Methil and Wemyss Villages",S13002966,,S99999999,,S99999999,Fife,Kirkcaldy and Levenmouth Community Health Partnership,,Scotland,Denbeath South,S01009619,"Buckhaven, Denbeath and Muiredge",S02001813,Kirkcaldy & Levenmouth Community Health Partnership,S03000008
F711H,Whytemans Brae Hospital, KY1 2ND,"Whytemans Brae, Kirkcaldy, KY1 2ND",KY1,-3.160324,56.127532,Kirkcaldy and Cowdenbeath,Cowdenbeath and Kirkcaldy,S14000041,S14000071,Fife,S12000047,Kirkcaldy East,S13002956,,S99999999,,S99999999,Fife,Kirkcaldy and Levenmouth Community Health Partnership,,Scotland,Smeaton South,S01009522,Kirkcaldy Hayfield and Smeaton,S02001793,Kirkcaldy & Levenmouth Community Health Partnership,S03000008
F712H,Stratheden Hospital, KY15 5RR,"Stratheden, By Springfield, Cupar, KY15 5RR",KY15,-3.054211,56.304406,North East Fife,North East Fife,S14000049,S14000100,Fife,S12000047,Cupar,S13002964,,S99999999,,S99999999,Fife,Glenrothes and North East Fife Community Health Partnership,,Scotland,Springfield East,S01009681,Cupar West and Springfield,S02001826,Glenrothes & North East Fife Community Health Partnership,S03000007
F714H,Weston Day Hospital, KY15 4AN,"West Port, Cupar, KY15 4AN",KY15,-3.01928,56.318786,North East Fife,North East Fife,S14000049,S14000100,Fife,S12000047,Cupar,S13002964,,S99999999,,S99999999,Fife,Glenrothes and North East Fife Community Health Partnership,,Scotland,Cupar West,S01009689,Cupar Central,S02001827,Glenrothes & North East Fife Community Health Partnership,S03000007
F716H,Glenrothes Hospital, KY7 5TG,"Lodge Rise, Glenrothes, Fife, KY7 5TG",KY7,-3.182507,56.205086,Glenrothes,Glenrothes and Mid Fife,S14000036,S14000090,Fife,S12000047,"Glenrothes North, Leslie and Markinch",S13002958,,S99999999,,S99999999,Fife,Glenrothes and North East Fife Community Health Partnership,,Scotland,Foresters Lodge,S01009590,Glenrothes Balgeddie and Town Park,S02001807,Glenrothes & North East Fife Community Health Partnership,S03000007
F805H,Queen Margaret Hospital, KY12 0SU,"Whitefield Road, Dunfermline, KY12 0SU",KY12,-3.426963,56.082307,Dunfermline and West Fife,Dunfermline and Dollar,S14000017,S14000076,Fife,S12000047,Dunfermline North,S13002946,,S99999999,,S99999999,Fife,Dunfermline and West Fife Community Health Partnership,,Scotland,Queen Margaret Hospital,S01009326,Dunfermline Bellyeoman and Townhill,S02001750,Dunfermline & West Fife Community Health Partnership,S03000006
F810H,Lynebank Hospital, KY11 8JH,"Halbeath Road, Dunfermline, KY11 8JH",KY11,-3.411371,56.079548,Dunfermline and West Fife,Dunfermline and Dollar,S14000017,S14000076,Fife,S12000047,Dunfermline Central,S13002947,,S99999999,,S99999999,Fife,Dunfermline and West Fife Community Health Partnership,,Scotland,Halbeath,S01009404,Crossgates and Halbeath,S02001768,Dunfermline & West Fife Community Health Partnership,S03000006
F812H,National Treatment Centre Fife Orthopaedics, KY2 5AH,"Hayfield Road, Kirkcaldy, KY2 5AH",KY2,-3.160136,56.125114,Kirkcaldy and Cowdenbeath,Cowdenbeath and Kirkcaldy,S14000041,S14000071,Fife,S12000047,Kirkcaldy East,S13002956,,S99999999,,S99999999,Fife,Kirkcaldy and Levenmouth Community Health Partnership,,Scotland,Smeaton South,S01009522,Kirkcaldy Hayfield and Smeaton,S02001793,Kirkcaldy & Levenmouth Community Health Partnership,S03000008
V102H,Falkirk Community Hospital, FK1 5QE,"Majors Loan, Falkirk, FK1 5QE",FK1,-3.79454,55.997774,Falkirk,Falkirk,S14000028,S14000083,Falkirk,S12000014,Falkirk South,S13002942,,S99999999,,S99999999,Forth Valley,Falkirk Community Health Partnership,,Scotland,Falkirk - Bantaskin - 02,S01009155,Falkirk - Bantaskin,S02001716,Falkirk Community Health Partnership,S03000010
V105H,Bo'ness Hospital, EH51 0DH,"Dean Road, Bo'ness, EH51 0DH",EH51,-3.614266,56.011576,Linlithgow and East Falkirk,Bathgate and Linlithgow,S14000043,S14000068,Falkirk,S12000014,Bo'ness and Blackness,S13002936,,S99999999,,S99999999,Forth Valley,Falkirk Community Health Partnership,,Scotland,Bo'ness - Kinneil - 05,S01009257,Bo'ness - Kinneil,S02001736,Falkirk Community Health Partnership,S03000010
V106H,Bellsdyke Hospital, FK5 4SF,"Bellsdyke Road, Larbert, FK5 4SF",,,,,,,,,,,,,,,,,,,,,,,,,
V201H,Stirling Community Hospital, FK8 2AU,"Livilands Gate, Stirling, FK8 2AU",FK8,-3.935893,56.1068,Stirling,Stirling and Strathallan,S14000057,S14000105,Stirling,S12000030,Stirling West,S13003119,,S99999999,,S99999999,Forth Valley,Stirling Community Health Partnership,,Scotland,King's Park and Torbrex - 02,S01013060,King's Park and Torbrex,S02002447,Stirling Community Health Partnership,S03000011
V214H,Lochview Hospital, FK5 4SE,"Stirling Road, Larbert, FK5 4SE",FK5,-3.845882,56.027956,Falkirk,Alloa and Grangemouth,S14000028,S14000064,Falkirk,S12000014,Bonnybridge and Larbert,S13002940,,S99999999,,S99999999,Forth Valley,Falkirk Community Health Partnership,,Scotland,Larbert - North Broomage and Inches - 01,S01009088,Larbert - North Broomage and Inches,S02001703,Falkirk Community Health Partnership,S03000010
V215H,Bungalows/Red Lodge, FK5 4AE,"Stirling Road, Larbert, Stirlingshire, FK5 4AE",FK5,-3.838674,56.020129,Falkirk,Alloa and Grangemouth,S14000028,S14000064,Falkirk,S12000014,Bonnybridge and Larbert,S13002940,,S99999999,,S99999999,Forth Valley,Falkirk Community Health Partnership,,Scotland,Larbert - South Broomage and Village - 02,S01009095,Larbert - South Broomage and Village,S02001704,Falkirk Community Health Partnership,S03000010
V216H,Clackmannanshire Community Healthcare Centre, FK10 3JQ,"Hall Park Road, Sauchie, FK10 3JQ",FK10,-3.783555,56.124693,Ochil and South Perthshire,Alloa and Grangemouth,S14000050,S14000064,Clackmannanshire,S12000005,Clackmannanshire Central,S13002877,,S99999999,,S99999999,Forth Valley,Clackmannanshire Community Health Partnership,,Scotland,Sauchie - 07,S01007460,Sauchie,S02001401,Clackmannanshire Community Health Partnership,S03000009
V217H,Forth Valley Royal Hospital, FK5 4WR,"Stirling Road, Larbert, FK5 4WR",FK5,-3.84801,56.025121,Falkirk,Alloa and Grangemouth,S14000028,S14000064,Falkirk,S12000014,Bonnybridge and Larbert,S13002940,,S99999999,,S99999999,Forth Valley,Falkirk Community Health Partnership,,Scotland,Larbert - North Broomage and Inches - 01,S01009088,Larbert - North Broomage and Inches,S02001703,Falkirk Community Health Partnership,S03000010
N101H,Aberdeen Royal Infirmary, AB25 2ZN,"Foresterhill Road, Aberdeen, AB25 2ZN",AB25,-2.137359,57.154275,Aberdeen North,Aberdeen North,S14000001,S14000060,Aberdeen City,S12000033,Midstocket/Rosemount,S13002841,,S99999999,,S99999999,Grampian,Aberdeen City Community Health Partnership,,Scotland,Midstocket - 06,S01006563,Midstocket,S02001245,Aberdeen City Community Health Partnership,S03000012
N102H,Woodend General Hospital, AB15 6XS,"Aberdeen, AB15 6XS",AB15,-2.171576,57.147307,Aberdeen South,Aberdeen North,S14000002,S14000060,Aberdeen City,S12000033,Kingswells/Sheddocksley/Summerhill,S13002837,,S99999999,,S99999999,Grampian,Aberdeen City Community Health Partnership,,Scotland,Summerhill - 03,S01006555,Summerhill,S02001244,Aberdeen City Community Health Partnership,S03000012
N103H,City Hospital, AB24 5AU,"Urquhart Road, Aberdeen, AB24 5AU",AB24,-2.087176,57.1545,Aberdeen North,Aberdeen South,S14000001,S14000061,Aberdeen City,S12000033,George St/Harbour,S13002842,,S99999999,,S99999999,Grampian,Aberdeen City Community Health Partnership,,Scotland,Hanover North - 01,S01006641,Hanover North,S02001260,Aberdeen City Community Health Partnership,S03000012
N104H,Woolmanhill Hospital, AB25 1LD,"Skene Street, Aberdeen, AB25 1LD",AB25,-2.105591,57.149069,Aberdeen South,Aberdeen North,S14000002,S14000060,Aberdeen City,S12000033,Midstocket/Rosemount,S13002841,,S99999999,,S99999999,Grampian,Aberdeen City Community Health Partnership,,Scotland,George Street - 04,S01006648,George Street,S02001261,Aberdeen City Community Health Partnership,S03000012
N106H,The Baird Family Hospital, AB25 2ZL,"Foresterhill Health Campus, Foresterhill Road, Aberdeen, AB25 2ZL",AB25,-2.132073,57.15526,Aberdeen North,Aberdeen North,S14000001,S14000060,Aberdeen City,S12000033,Midstocket/Rosemount,S13002841,,S99999999,,S99999999,Grampian,Aberdeen City Community Health Partnership,,Scotland,Midstocket - 06,S01006563,Midstocket,S02001245,Aberdeen City Community Health Partnership,S03000012
N111H,Hyperbaric Centre, AB16 5FA,"123 Ashgrove Road West, Aberdeen, AB16 5FA",AB16,-2.143171,57.155179,Aberdeen North,Aberdeen North,S14000001,S14000060,Aberdeen City,S12000033,Midstocket/Rosemount,S13002841,,S99999999,,S99999999,Grampian,Aberdeen City Community Health Partnership,,Scotland,Stockethill - 01,S01006694,Stockethill,S02001269,Aberdeen City Community Health Partnership,S03000012
N121H,Royal Aberdeen Children's Hospital, AB25 2ZG,"Westburn Drive, Aberdeen, AB25 2ZG",AB25,-2.135208,57.153595,Aberdeen North,Aberdeen North,S14000001,S14000060,Aberdeen City,S12000033,Midstocket/Rosemount,S13002841,,S99999999,,S99999999,Grampian,Aberdeen City Community Health Partnership,,Scotland,Midstocket - 06,S01006563,Midstocket,S02001245,Aberdeen City Community Health Partnership,S03000012
N151H,Aboyne Hospital, AB34 5HQ,"Bellwood Road, Aboyne, AB34 5HQ",AB34,-2.767607,57.077017,West Aberdeenshire and Kincardine,West Aberdeenshire and Kincardine,S14000058,S14000058,Aberdeenshire,S12000034,"Aboyne, Upper Deeside and Donside",S13002862,,S99999999,,S99999999,Grampian,Aberdeenshire Community Health Partnership,,Scotland,Aboyne and South Deeside - 06,S01006799,Aboyne and South Deeside,S02001286,Aberdeenshire Community Health Partnership,S03000013
N161H,Aberdeen Maternity Hospital, AB25 2ZL,"Foresterhill, Aberdeen, AB25 2ZL",AB25,-2.132073,57.15526,Aberdeen North,Aberdeen North,S14000001,S14000060,Aberdeen City,S12000033,Midstocket/Rosemount,S13002841,,S99999999,,S99999999,Grampian,Aberdeen City Community Health Partnership,,Scotland,Midstocket - 06,S01006563,Midstocket,S02001245,Aberdeen City Community Health Partnership,S03000012
N181H,Glen O'Dee Hospital,AB31 5SA,"Banchory, AB31 5SA",AB31,-2.52124,57.060852,West Aberdeenshire and Kincardine,West Aberdeenshire and Kincardine,S14000058,S14000058,Aberdeenshire,S12000034,Banchory and Mid Deeside,S13002863,,S99999999,,S99999999,Grampian,Aberdeenshire Community Health Partnership,,Scotland,Crathes and Torphins - 04,S01006872,Crathes and Torphins,S02001299,Aberdeenshire Community Health Partnership,S03000013
N183H,Roxburghe House, AB25 2ZH,"Cornhill Site, Ashgrove Road, Aberdeen, AB25 2ZH",AB25,-2.117216,57.154271,Aberdeen North,Aberdeen North,S14000001,S14000060,Aberdeen City,S12000033,Midstocket/Rosemount,S13002841,,S99999999,,S99999999,Grampian,Aberdeen City Community Health Partnership,,Scotland,Ashgrove - 03,S01006655,Ashgrove,S02001262,Aberdeen City Community Health Partnership,S03000012
N184H,Maidencraig House, AB15 6XS,"Woodend Hospital, Eday Road, AB15 6XS",AB15,-2.171576,57.147307,Aberdeen South,Aberdeen North,S14000002,S14000060,Aberdeen City,S12000033,Kingswells/Sheddocksley/Summerhill,S13002837,,S99999999,,S99999999,Grampian,Aberdeen City Community Health Partnership,,Scotland,Summerhill - 03,S01006555,Summerhill,S02001244,Aberdeen City Community Health Partnership,S03000012
N198H,Royal Cornhill Hospital, AB25 2ZH,"Cornhill Road, Aberdeen, AB25 2ZH",AB25,-2.117216,57.154271,Aberdeen North,Aberdeen North,S14000001,S14000060,Aberdeen City,S12000033,Midstocket/Rosemount,S13002841,,S99999999,,S99999999,Grampian,Aberdeen City Community Health Partnership,,Scotland,Ashgrove - 03,S01006655,Ashgrove,S02001262,Aberdeen City Community Health Partnership,S03000012
N331H,Inverurie Hospital, AB51 3UL,"Upperboat Road, Inverurie, AB51 3UL",AB51,-2.378697,57.277244,Gordon,Gordon and Buchan,S14000037,S14000091,Aberdeenshire,S12000034,Inverurie and District,S13002858,,S99999999,,S99999999,Grampian,Aberdeenshire Community Health Partnership,,Scotland,Inverurie South - 04,S01006905,Inverurie South,S02001304,Aberdeenshire Community Health Partnership,S03000013
N332H,Insch & District War Memorial Hosp., AB52 6JJ,"Rannes Street, Insch, AB52 6JJ",AB52,-2.612285,57.340889,Gordon,Gordon and Buchan,S14000037,S14000091,Aberdeenshire,S12000034,West Garioch,S13002857,,S99999999,,S99999999,Grampian,Aberdeenshire Community Health Partnership,,Scotland,"Insch, Oyne and Ythanwells - 05",S01007001,"Insch, Oyne and Ythanwells",S02001319,Aberdeenshire Community Health Partnership,S03000013
N333H,Peterhead Community Hospital, AB42 2XB,"Links Terrace, Peterhead, AB42 2XB",AB42,-1.793623,57.502363,Banff and Buchan,Aberdeenshire North and Moray East,S14000007,S14000062,Aberdeenshire,S12000034,Peterhead South and Cruden,S13002853,,S99999999,,S99999999,Grampian,Aberdeenshire Community Health Partnership,,Scotland,Peterhead Bay - 03,S01007080,Peterhead Bay,S02001335,Aberdeenshire Community Health Partnership,S03000013
N334H,Fraserburgh Hospital, AB43 9NF,"Lochpots Road, Fraserburgh, AB43 9NF",AB43,-2.019576,57.687629,Banff and Buchan,Aberdeenshire North and Moray East,S14000007,S14000062,Aberdeenshire,S12000034,Fraserburgh and District,S13002850,,S99999999,,S99999999,Grampian,Aberdeenshire Community Health Partnership,,Scotland,Fraserburgh Central-Academy - 03,S01007123,Fraserburgh Central-Academy,S02001342,Aberdeenshire Community Health Partnership,S03000013
N335H,Jubilee Hospital, AB54 8EX,"Bleachfield Street, Huntly, AB54 8EX",AB54,-2.790357,57.44321,Gordon,Gordon and Buchan,S14000037,S14000091,Aberdeenshire,S12000034,"Huntly, Strathbogie and Howe of Alford",S13002861,,S99999999,,S99999999,Grampian,Aberdeenshire Community Health Partnership,,Scotland,Huntly - 03,S01007010,Huntly,S02001321,Aberdeenshire Community Health Partnership,S03000013
N336H,Turriff Cottage Hospital, AB53 4DQ,"Balmellie Road, Turriff, AB53 4DQ",AB53,-2.451662,57.536556,Banff and Buchan,Gordon and Buchan,S14000007,S14000091,Aberdeenshire,S12000034,Turriff and District,S13002854,,S99999999,,S99999999,Grampian,Aberdeenshire Community Health Partnership,,Scotland,Turriff - 06,S01007022,Turriff,S02001323,Aberdeenshire Community Health Partnership,S03000013
N337H,Chalmers Hospital,AB45 1JA,"Banff, AB45 1JA",AB45,-2.524384,57.668983,Banff and Buchan,Aberdeenshire North and Moray East,S14000007,S14000062,Aberdeenshire,S12000034,Banff and District,S13002848,,S99999999,,S99999999,Grampian,Aberdeenshire Community Health Partnership,,Scotland,Banff - 01,S01007032,Banff,S02001326,Aberdeenshire Community Health Partnership,S03000013
N352H,Ugie Hospital, AB42 1LZ,"Ugie Road, Peterhead, AB42 1LZ",AB42,-1.793687,57.514705,Banff and Buchan,Aberdeenshire North and Moray East,S14000007,S14000062,Aberdeenshire,S12000034,Peterhead North and Rattray,S13002852,,S99999999,,S99999999,Grampian,Aberdeenshire Community Health Partnership,,Scotland,Peterhead Ugieside - 06,S01007094,Peterhead Ugieside,S02001337,Aberdeenshire Community Health Partnership,S03000013
N401E,Buckie Day Hospital, AB56 1SF,"The Bungalow, Seafield Hospital, Buckie, AB56 1SF",AB56,-2.98178,57.667831,Moray,Aberdeenshire North and Moray East,S14000046,S14000062,Moray,S12000020,Buckie,S13003026,,S99999999,,S99999999,Grampian,Moray Community Health and Social Care Partnership,,Scotland,Buckie West and Mains of Buckie - 04,S01011081,Buckie West and Mains of Buckie,S02002079,Moray Community Health & Social Care Partnership,S03000014
N411H,Dr Gray's Hospital, IV30 1SN,"Pluscarden Road, Elgin, Morayshire, IV30 1SN",IV30,-3.326988,57.646427,Moray,"Moray West, Nairn and Strathspey",S14000046,S14000098,Moray,S12000020,Elgin City South,S13003030,,S99999999,,S99999999,Grampian,Moray Community Health and Social Care Partnership,,Scotland,Elgin Central West - 02,S01011118,Elgin Central West,S02002087,Moray Community Health & Social Care Partnership,S03000014
N431H,Seafield Hospital, AB56 1SF,"Barrhill Road, Buckie, AB56 1SF",AB56,-2.98178,57.667831,Moray,Aberdeenshire North and Moray East,S14000046,S14000062,Moray,S12000020,Buckie,S13003026,,S99999999,,S99999999,Grampian,Moray Community Health and Social Care Partnership,,Scotland,Buckie West and Mains of Buckie - 04,S01011081,Buckie West and Mains of Buckie,S02002079,Moray Community Health & Social Care Partnership,S03000014
N432H,Stephen Cottage Hospital, AB55 4BH,"Stephen Avenue, Dufftown, AB55 4BH",AB55,-3.125188,57.445508,Moray,"Moray West, Nairn and Strathspey",S14000046,S14000098,Moray,S12000020,Speyside Glenlivet,S13003024,,S99999999,,S99999999,Grampian,Moray Community Health and Social Care Partnership,,Scotland,South Speyside and the Cabrach - 05,S01011049,South Speyside and the Cabrach,S02002073,Moray Community Health & Social Care Partnership,S03000014
N433H,Turner Memorial Hospital, AB55 5DJ,"Turner Street, Keith, AB55 5DJ",AB55,-2.954015,57.541807,Moray,Aberdeenshire North and Moray East,S14000046,S14000062,Moray,S12000020,Keith and Cullen,S13003025,,S99999999,,S99999999,Grampian,Moray Community Health and Social Care Partnership,,Scotland,Keith and Fife Keith - 03,S01011062,Keith and Fife Keith,S02002076,Moray Community Health & Social Care Partnership,S03000014
N434H,Leanchoil Hospital, IV36 2RF,"91 St Leonard's Road, Forres, IV36 2RF",IV36,-3.591855,57.604093,Moray,"Moray West, Nairn and Strathspey",S14000046,S14000098,Moray,S12000020,Forres,S13003031,,S99999999,,S99999999,Grampian,Moray Community Health and Social Care Partnership,,Scotland,"Rafford, Dallas, Dyke to Dava - 01",S01011167,"Rafford, Dallas, Dyke to Dava",S02002096,Moray Community Health & Social Care Partnership,S03000014
N451H,Fleming Cottage Hospital, AB38 9PR,"Queens Road, Aberlour, AB38 9PR",AB38,-3.224174,57.469361,Moray,"Moray West, Nairn and Strathspey",S14000046,S14000098,Moray,S12000020,Speyside Glenlivet,S13003024,,S99999999,,S99999999,Grampian,Moray Community Health and Social Care Partnership,,Scotland,North Speyside - 03,S01011052,North Speyside,S02002074,Moray Community Health & Social Care Partnership,S03000014
N492H,Rehabilitation Hospital, AB11 7RS,"15 Polmuir Road, Aberdeen, AB11 7RS",AB11,-2.103305,57.13512,Aberdeen South,Aberdeen South,S14000002,S14000061,Aberdeen City,S12000033,Torry/Ferryhill,S13002846,,S99999999,,S99999999,Grampian,Aberdeen City Community Health Partnership,,Scotland,Ferryhill South - 01,S01006598,Ferryhill South,S02001252,Aberdeen City Community Health Partnership,S03000012
N494H,Kincardine Community Hospital, AB39 2NJ,"Kirkton Road, Stonehaven, AB39 2NJ",AB39,-2.230805,56.969157,West Aberdeenshire and Kincardine,West Aberdeenshire and Kincardine,S14000058,S14000058,Aberdeenshire,S12000034,Stonehaven and Lower Deeside,S13002865,,S99999999,,S99999999,Grampian,Aberdeenshire Community Health Partnership,,Scotland,Stonehaven South - 04,S01006826,Stonehaven South,S02001291,Aberdeenshire Community Health Partnership,S03000013
N495H,Pluscarden Clinic, IV30 1SN,"Dr Gray's Hospital, Elgin, IV30 1SN",IV30,-3.326988,57.646427,Moray,"Moray West, Nairn and Strathspey",S14000046,S14000098,Moray,S12000020,Elgin City South,S13003030,,S99999999,,S99999999,Grampian,Moray Community Health and Social Care Partnership,,Scotland,Elgin Central West - 02,S01011118,Elgin Central West,S02002087,Moray Community Health & Social Care Partnership,S03000014
N496H,375 Great Western Lodge, AB10 6NU,"375 Great Western Road, Aberdeen, AB10 6NU",AB10,-2.128397,57.134217,Aberdeen South,Aberdeen South,S14000002,S14000061,Aberdeen City,S12000033,Airyhall/Broomhill/Garthdee,S13002845,,S99999999,,S99999999,Grampian,Aberdeen City Community Health Partnership,,Scotland,"Braeside, Mannofield, Broomhill and Seafield East - 02",S01006533,"Braeside, Mannofield, Broomhill and Seafield East",S02001240,Aberdeen City Community Health Partnership,S03000012
N499H,Elmwood, AB25 3BW,"Ashgrove Road, Aberdeen, AB25 3BW",AB25,-2.125833,57.157584,Aberdeen North,Aberdeen North,S14000001,S14000060,Aberdeen City,S12000033,Midstocket/Rosemount,S13002841,,S99999999,,S99999999,Grampian,Aberdeen City Community Health Partnership,,Scotland,Ashgrove - 03,S01006655,Ashgrove,S02001262,Aberdeen City Community Health Partnership,S03000012
N500H,Aberdeen Community Health and Care Village, AB24 5HY,"50 Frederick Street, Aberdeen, AB24 5HY",AB24,-2.09267,57.150148,Aberdeen North,Aberdeen South,S14000001,S14000061,Aberdeen City,S12000033,George St/Harbour,S13002842,,S99999999,,S99999999,Grampian,Aberdeen City Community Health Partnership,,Scotland,Hanover South - 03,S01006639,Hanover South,S02001259,Aberdeen City Community Health Partnership,S03000012
N501H,Rosewell House (NHS Wards), AB15 6XN,"194 Kings Gate, Aberdeen, AB15 6XN",AB15,-2.152876,57.14522,Aberdeen North,Aberdeen South,S14000001,S14000061,Aberdeen City,S12000033,Hazlehead/Queens Cross/Countesswells,S13002844,,S99999999,,S99999999,Grampian,Aberdeen City Community Health Partnership,,Scotland,Summerhill - 01,S01006553,Summerhill,S02001244,Aberdeen City Community Health Partnership,S03000012
C204H,Dumbarton Joint Hospital/Riverview Resource Centre, G82 5JA,"Cardross Road, Dumbarton, G82 5JA",G82,-4.593938,55.948049,West Dunbartonshire,West Dunbartonshire,S14000059,S14000106,West Dunbartonshire,S12000039,Dumbarton,S13003124,,S99999999,,S99999999,Greater Glasgow and Clyde,West Dunbartonshire Community Health and Care Partnership,,Scotland,IZ13 - 04,S01013202,IZ13,S02002472,West Dunbartonshire Community Health Partnership,S03000023
C206H,Vale of Leven General Hospital, G83 0UA,"North Main Street, Alexandria, G83 0UA",G83,-4.591825,55.993086,West Dunbartonshire,West Dunbartonshire,S14000059,S14000106,West Dunbartonshire,S12000039,Lomond,S13003122,,S99999999,,S99999999,Greater Glasgow and Clyde,West Dunbartonshire Community Health and Care Partnership,,Scotland,IZ17 - 01,S01013228,IZ17,S02002476,West Dunbartonshire Community Health Partnership,S03000023
C313H,Inverclyde Royal Hospital, PA16 0XN,"Larkfield Road, Greenock, PA16 0XN",PA16,-4.809251,55.943981,Inverclyde,Inverclyde and Renfrewshire West,S14000038,S14000093,Inverclyde,S12000018,Inverclyde South,S13003017,,S99999999,,S99999999,Greater Glasgow and Clyde,Inverclyde Community Health and Care Partnership,,Scotland,"Lower Bow and Larkfield, Fancy Farm, Mallard Bowl - 01",S01010856,"Lower Bow and Larkfield, Fancy Farm, Mallard Bowl",S02002041,Inverclyde Community Health Partnership,S03000018
C403H,Dykebar Hospital, PA2 7DE,"Grahamston Road, Paisley, PA2 7DE",PA2,-4.398312,55.824359,Paisley and Renfrewshire South,Paisley and Renfrewshire South,S14000053,S14000102,Renfrewshire,S12000038,Paisley Southeast,S13003080,,S99999999,,S99999999,Greater Glasgow and Clyde,Renfrewshire Community Health Partnership,,Scotland,Renfrewshire Rural South and Howwood - 05,S01012027,Renfrewshire Rural South and Howwood,S02002255,Renfrewshire Community Health Partnership,S03000020
C418H,Royal Alexandra Hospital, PA2 9PN,"Corsebar Road, Paisley, PA2 9PN",PA2,-4.43779,55.835208,Paisley and Renfrewshire South,Paisley and Renfrewshire South,S14000053,S14000102,Renfrewshire,S12000038,Paisley Northwest,S13003078,,S99999999,,S99999999,Greater Glasgow and Clyde,Renfrewshire Community Health Partnership,,Scotland,Paisley South - 04,S01012107,Paisley South,S02002270,Renfrewshire Community Health Partnership,S03000020
C419H,Larkfield Unit, PA16 0XN,"Inverclyde Royal Hospital, Larkfield Road, Greenock, PA16 0XN",PA16,-4.809251,55.943981,Inverclyde,Inverclyde and Renfrewshire West,S14000038,S14000093,Inverclyde,S12000018,Inverclyde South,S13003017,,S99999999,,S99999999,Greater Glasgow and Clyde,Inverclyde Community Health and Care Partnership,,Scotland,"Lower Bow and Larkfield, Fancy Farm, Mallard Bowl - 01",S01010856,"Lower Bow and Larkfield, Fancy Farm, Mallard Bowl",S02002041,Inverclyde Community Health Partnership,S03000018
C420H,Blythswood House, PA4 8NT,"Fulbar Lane, Renfrew, PA4 8NT",PA4,-4.388108,55.880587,Paisley and Renfrewshire North,Paisley and Renfrewshire North,S14000052,S14000101,Renfrewshire,S12000038,Renfrew North and Braehead,S13003075,,S99999999,,S99999999,Greater Glasgow and Clyde,Renfrewshire Community Health Partnership,,Scotland,Renfrew North - 05,S01012186,Renfrew North,S02002282,Renfrewshire Community Health Partnership,S03000020
G106H,Glasgow Dental Hospital and School, G2 3JZ,"378 Sauchiehall Street, Glasgow, G2 3JZ",G2,-4.265553,55.866053,Glasgow Central,Glasgow North,S14000029,S14000085,Glasgow City,S12000049,Anderston/City/Yorkhill,S13002976,,S99999999,,S99999999,Greater Glasgow and Clyde,Glasgow City Community Health Partnership,,Scotland,City Centre West - 02,S01010267,City Centre West,S02001933,Glasgow City Community Health & Care Partnership,S03000043
G107H,Glasgow Royal Infirmary, G4 0SF,"84 Castle Street, Glasgow, G4 0SF",G4,-4.23566,55.86403,Glasgow Central,Glasgow North East,S14000029,S14000086,Glasgow City,S12000049,Dennistoun,S13002988,,S99999999,,S99999999,Greater Glasgow and Clyde,Glasgow City Community Health Partnership,,Scotland,City Centre East - 04,S01010262,City Centre East,S02001932,Glasgow City Community Health & Care Partnership,S03000043
G108H,The Princess Royal Maternity Unit, G31 2ER,"16 Alexandra Parade, Glasgow, G31 2ER",G31,-4.232246,55.865242,Glasgow Central,Glasgow North East,S14000029,S14000086,Glasgow City,S12000049,Dennistoun,S13002988,,S99999999,,S99999999,Greater Glasgow and Clyde,Glasgow City Community Health Partnership,,Scotland,City Centre East - 04,S01010262,City Centre East,S02001932,Glasgow City Community Health & Care Partnership,S03000043
G109H,Lightburn Hospital, G32 6NB,"966 Carntyne Road, Glasgow, G32 6NB",G32,-4.166741,55.861632,Glasgow East,Glasgow North East,S14000030,S14000086,Glasgow City,S12000049,East Centre,S13002984,,S99999999,,S99999999,Greater Glasgow and Clyde,Glasgow City Community Health Partnership,,Scotland,"Cranhill, Lightburn and Queenslie South - 04",S01010159,"Cranhill, Lightburn and Queenslie South",S02001914,Glasgow City Community Health & Care Partnership,S03000043
